,B.1.1.7,B.1.351,P.1,B.1.617.2,B.1.617.1,undetermined,city,k
2021-06-08,0.5573760407532707,0.028340847973498777,0.03792706470911761,0.09749083232803268,0.007090952389227941,0.2717742618468522,Lausanne (VD),43.0
2021-05-26,0.846276453586368,0.020202969138537044,0.021657754678293596,0.009603150286831142,0.005051827308168874,0.09720784500180135,Lausanne (VD),43.0
2021-05-27,0.84265576943893,0.020074831937636838,0.020210323075864317,0.010639815888897286,0.005585100057639107,0.10083415960103245,Lausanne (VD),43.0
2021-05-28,0.8392182072131098,0.019724924285246758,0.01881536017397497,0.011979407184727857,0.006059570530110972,0.10420253061282955,Lausanne (VD),43.0
2021-05-29,0.8349149050210782,0.019287053288132804,0.01763904108872601,0.013837515906363536,0.006495572959865062,0.10782591173583428,Lausanne (VD),43.0
2021-05-30,0.8283140194879878,0.018911187031513087,0.016860953022268838,0.016505343410736555,0.006922599024278976,0.11248589802321471,Lausanne (VD),43.0
2021-05-31,0.8178005162416825,0.01873573871481306,0.01666378829252233,0.02032782936933581,0.007368892229771199,0.11910323515187513,Lausanne (VD),43.0
2021-06-01,0.8018811162137046,0.018862280932746278,0.017209583283729395,0.02565072062398722,0.007846635124198932,0.12854966382163366,Lausanne (VD),43.0
2021-05-19,0.8897041344069724,0.013271295455220999,0.023586340641846042,0.004725391060912529,0.0009660632966271727,0.06774677513842077,Lausanne (VD),43.0
2021-05-20,0.8827882523610625,0.014658451697420631,0.02456107146535493,0.005276202314882615,0.001354640538311978,0.0713613816229673,Lausanne (VD),43.0
2021-05-21,0.8758135275882446,0.016072977750944708,0.025134797370383943,0.005871199489651527,0.001863201894738051,0.07524429590603705,Lausanne (VD),43.0
2021-05-22,0.8688726377115475,0.01741681672656234,0.025250885952000264,0.006514522847852869,0.0024672013318713932,0.07947793543016547,Lausanne (VD),43.0
2021-05-23,0.862175329013465,0.01858141725850804,0.024900961693954306,0.007205139693979844,0.003128602687007166,0.0840085496530855,Lausanne (VD),43.0
2021-05-24,0.856014635546777,0.019469053508620212,0.02412579137019737,0.007940941415779302,0.003804050730680657,0.08864552742794536,Lausanne (VD),43.0
2021-05-25,0.8506718393128422,0.020014769532841908,0.02300735691325574,0.008729311002612036,0.004454301700855524,0.09312242153759255,Lausanne (VD),43.0
2021-05-12,0.9350004807175113,0.007688635076149106,0.01369988047950948,0.0018076845165245245,0.0008720544219386422,0.04093126478836665,Lausanne (VD),43.0
2021-05-13,0.9297300259907676,0.007980059155315793,0.014872806431835184,0.00208448953369751,0.0007451216965799957,0.04458749719180385,Lausanne (VD),43.0
2021-05-14,0.9236302918170302,0.00843633131236679,0.016217512477796507,0.0024306513714605787,0.0006317135014118426,0.04865349951993427,Lausanne (VD),43.0
2021-05-15,0.9170503713209911,0.009064801247049928,0.017696994288305713,0.0028283189015392593,0.00054906856425888,0.05281044567785518,Lausanne (VD),43.0
2021-05-16,0.9102563533813485,0.009867421043701946,0.0192572562543281,0.0032627116655184357,0.0005178672382463453,0.05683839041685664,Lausanne (VD),43.0
2021-05-17,0.9034084172577205,0.010843075325727196,0.0208243363327141,0.003724427672092075,0.0005617430111536056,0.060638000400592466,Lausanne (VD),43.0
2021-05-18,0.8965636043959683,0.011984696179486623,0.022303810114797012,0.004210751052416981,0.0007046669143201825,0.06423247134301104,Lausanne (VD),43.0
2021-02-14,0.5807167928687256,0.040302020512274966,0.003989491916801564,0.005582725615401332,0.007057461940124717,0.36235150714667175,Lausanne (VD),43.0
2021-02-15,0.5856534796480449,0.03915522641791765,0.002515961542745346,0.00528233500619919,0.0072036307984558595,0.36018936658663714,Lausanne (VD),43.0
2021-02-16,0.5920362740815156,0.038360135446636925,0.0015960586692174543,0.004979862217018601,0.007294770405329921,0.35573289918028145,Lausanne (VD),43.0
2021-02-17,0.5999090885480921,0.03776969102241841,0.0012170237583251798,0.004687242230404823,0.007314864213209023,0.34910209022755045,Lausanne (VD),43.0
2021-02-18,0.6094147355127788,0.03723554715394614,0.0013167841621016482,0.004408951742860995,0.007247018773573931,0.3403769626547385,Lausanne (VD),43.0
2021-02-19,0.620806191030679,0.03662260319616659,0.0018012405567423505,0.004142647886930424,0.007076308485850172,0.3295510088436315,Lausanne (VD),43.0
2021-02-20,0.6343787446852506,0.035825653514373924,0.0025624054161340294,0.003881564418571781,0.006792888470694425,0.31655874349497526,Lausanne (VD),43.0
2021-02-21,0.6503438310398436,0.03478726971523568,0.003494519114587556,0.003617993708030573,0.006394979121194554,0.301361407301108,Lausanne (VD),43.0
2021-02-22,0.6686853434365471,0.033514126050819874,0.004506449827904085,0.0033468683768814976,0.005891281384607207,0.2840559309232404,Lausanne (VD),43.0
2021-02-23,0.6890456837372592,0.032087381498962946,0.005529216448360525,0.003068390793549452,0.005302229376076741,0.26496709814579117,Lausanne (VD),43.0
2021-02-24,0.7106833716326112,0.030661539542414667,0.006517922599136852,0.00278890266398406,0.004659355342059228,0.24468890821979394,Lausanne (VD),43.0
2021-02-25,0.7325287762938596,0.029446365625642543,0.007448395745292391,0.002519733276711047,0.004002181451854761,0.22405454760663965,Lausanne (VD),43.0
2021-02-26,0.753339675305635,0.028669534799129787,0.008310459001237743,0.0022744846234206465,0.003372688892606065,0.20403315737797098,Lausanne (VD),43.0
2021-02-27,0.7719259486931467,0.02852441449509258,0.00910117854170183,0.002065811588671096,0.0028084765591663663,0.1855741701222213,Lausanne (VD),43.0
2021-02-28,0.7873825908768486,0.02911565544980523,0.009821156679710017,0.0019028716688642732,0.002336641922102287,0.16944108340266975,Lausanne (VD),43.0
2021-03-01,0.7992594745121847,0.030419965808002474,0.010474286680121254,0.0017901079875909818,0.0019704003202162,0.15608576469188432,Lausanne (VD),43.0
2021-03-02,0.8076173518414008,0.03227592551677692,0.01106797722168468,0.0017272154880051556,0.0017092525907106877,0.14560227734142192,Lausanne (VD),43.0
2021-03-03,0.8129655089962133,0.03440572293393477,0.01160985099135029,0.0017096222717698918,0.0015418683907110176,0.1377674264160208,Lausanne (VD),43.0
2021-03-04,0.8161214043840797,0.03646011323795068,0.01209968236892696,0.0017289219266967996,0.0014499255905923757,0.13213995249175345,Lausanne (VD),43.0
2021-03-05,0.8180510723883235,0.03807294104636018,0.01251959507914576,0.001773198363169706,0.0014113973770792363,0.12817179574592166,Lausanne (VD),43.0
2021-03-06,0.8197354351733422,0.03891465611922714,0.012827843025160296,0.0018276372726307617,0.0014027180703285477,0.12529171033931086,Lausanne (VD),43.0
2021-03-07,0.8220765227340792,0.03874068764877274,0.01296064271300645,0.0018759522309042586,0.0014001298926841323,0.12294606478055325,Lausanne (VD),43.0
2021-03-08,0.8258291928989079,0.03743408200906817,0.012843667135868155,0.0019029384679619646,0.0013809183699425433,0.12060920111825126,Lausanne (VD),43.0
2021-03-09,0.8315321923852061,0.03503901280213063,0.012411203258420343,0.0018979183551145837,0.001325149181513968,0.11779452401761437,Lausanne (VD),43.0
2021-03-10,0.8394230568898456,0.031774235846116834,0.011627127077032444,0.0018580310093223105,0.0012180115510914999,0.11409953762659124,Lausanne (VD),43.0
2021-03-11,0.8493524383675092,0.028010566145248068,0.010499120054247803,0.0017896716492508387,0.0010521629889030102,0.10929604079484115,Lausanne (VD),43.0
2021-03-12,0.8607493303950625,0.02420375461474534,0.009079025174806766,0.0017067231652085366,0.0008290345972179028,0.1034321320529589,Lausanne (VD),43.0
