division,pangoShort,date,count,count_tot,count_tot2,frac,count_tot3
Bern,other,2020-07-07,0,0,0,0.0,1
Bern,B.1.1.28,2020-07-08,0,0,0,0.0,3
Bern,B.1.1.7,2020-07-08,0,0,0,0.0,3
Bern,B.1.351,2020-07-08,0,0,0,0.0,3
Bern,B.1.617.1,2020-07-08,0,0,0,0.0,3
Bern,B.1.617.2,2020-07-08,0,0,0,0.0,3
Bern,other,2020-07-08,3,9,3,1.0,3
Bern,B.1.1.28,2020-07-09,0,0,0,0.0,3
Bern,B.1.1.7,2020-07-09,1,3,3,0.3333333333333333,3
Bern,B.1.351,2020-07-09,0,0,0,0.0,3
Bern,B.1.617.1,2020-07-09,0,0,0,0.0,3
Bern,B.1.617.2,2020-07-09,0,0,0,0.0,3
Bern,other,2020-07-09,2,6,3,0.6666666666666666,3
Bern,B.1.1.28,2020-07-10,0,0,0,0.0,2
Bern,B.1.1.7,2020-07-10,0,0,0,0.0,2
Bern,B.1.351,2020-07-10,0,0,0,0.0,2
Bern,B.1.617.1,2020-07-10,0,0,0,0.0,2
Bern,B.1.617.2,2020-07-10,0,0,0,0.0,2
Bern,other,2020-07-10,2,4,2,1.0,2
Bern,B.1.1.28,2020-07-11,0,0,0,,0
Bern,B.1.1.7,2020-07-11,0,0,0,,0
Bern,B.1.351,2020-07-11,0,0,0,,0
Bern,B.1.617.1,2020-07-11,0,0,0,,0
Bern,B.1.617.2,2020-07-11,0,0,0,,0
Bern,other,2020-07-11,0,0,0,,0
Bern,B.1.1.28,2020-07-12,0,0,0,,0
Bern,B.1.1.7,2020-07-12,0,0,0,,0
Bern,B.1.351,2020-07-12,0,0,0,,0
Bern,B.1.617.1,2020-07-12,0,0,0,,0
Bern,B.1.617.2,2020-07-12,0,0,0,,0
Bern,other,2020-07-12,0,0,0,,0
Bern,B.1.1.28,2020-07-13,0,0,0,,0
Bern,B.1.1.7,2020-07-13,0,0,0,,0
Bern,B.1.351,2020-07-13,0,0,0,,0
