index,city,estimate,variant,frac
2021-07-09,Zürich (ZH),robust,B.1.1.7,0.012163061494073294
2021-07-10,Zürich (ZH),robust,B.1.1.7,0.009777607131408357
2021-07-11,Zürich (ZH),robust,B.1.1.7,0.0077755378480715755
2021-07-12,Zürich (ZH),robust,B.1.1.7,0.0061664338083922375
2021-07-13,Zürich (ZH),robust,B.1.1.7,0.0049234579544433
2021-06-30,Zürich (ZH),robust,B.1.1.7,0.03766098717925323
2021-07-01,Zürich (ZH),robust,B.1.1.7,0.03484775876126776
2021-07-02,Zürich (ZH),robust,B.1.1.7,0.032329037154920234
2021-07-03,Zürich (ZH),robust,B.1.1.7,0.029744664305447217
2021-07-04,Zürich (ZH),robust,B.1.1.7,0.026956873038728256
2021-07-05,Zürich (ZH),robust,B.1.1.7,0.023978266159362688
2021-07-06,Zürich (ZH),robust,B.1.1.7,0.020897080072354753
2021-06-23,Zürich (ZH),robust,B.1.1.7,0.12344443756533888
2021-06-24,Zürich (ZH),robust,B.1.1.7,0.09698048844406794
2021-06-25,Zürich (ZH),robust,B.1.1.7,0.07732572360136968
2021-06-26,Zürich (ZH),robust,B.1.1.7,0.06313089334926034
2021-06-27,Zürich (ZH),robust,B.1.1.7,0.05317492112235548
2021-06-28,Zürich (ZH),robust,B.1.1.7,0.04625319607751877
2021-06-16,Zürich (ZH),robust,B.1.1.7,0.4252217624591683
2021-06-17,Zürich (ZH),robust,B.1.1.7,0.39709314400059903
2021-06-18,Zürich (ZH),robust,B.1.1.7,0.36054976507770825
2021-06-19,Zürich (ZH),robust,B.1.1.7,0.312229186474671
2021-06-20,Zürich (ZH),robust,B.1.1.7,0.25563651381896224
2021-06-21,Zürich (ZH),robust,B.1.1.7,0.20230277753062834
2021-06-22,Zürich (ZH),robust,B.1.1.7,0.15816188211813742
2021-06-09,Zürich (ZH),robust,B.1.1.7,0.6150075592769263
2021-06-10,Zürich (ZH),robust,B.1.1.7,0.5794748615155491
2021-06-11,Zürich (ZH),robust,B.1.1.7,0.5469452527849773
2021-06-12,Zürich (ZH),robust,B.1.1.7,0.5184911950759881
2021-06-13,Zürich (ZH),robust,B.1.1.7,0.4936571417493275
2021-06-14,Zürich (ZH),robust,B.1.1.7,0.4710403974428705
2021-06-15,Zürich (ZH),robust,B.1.1.7,0.44891406991019606
2021-06-02,Zürich (ZH),robust,B.1.1.7,0.7928899361420682
2021-06-03,Zürich (ZH),robust,B.1.1.7,0.7796469363655544
2021-06-04,Zürich (ZH),robust,B.1.1.7,0.7631619054394546
2021-06-05,Zürich (ZH),robust,B.1.1.7,0.7422880008946635
2021-06-06,Zürich (ZH),robust,B.1.1.7,0.7164158008707007
2021-06-07,Zürich (ZH),robust,B.1.1.7,0.6857385332238715
2021-06-08,Zürich (ZH),robust,B.1.1.7,0.651289757748395
2021-05-26,Zürich (ZH),robust,B.1.1.7,0.8732653276581703
2021-05-27,Zürich (ZH),robust,B.1.1.7,0.8621152329756423
2021-05-28,Zürich (ZH),robust,B.1.1.7,0.850011436274689
2021-05-29,Zürich (ZH),robust,B.1.1.7,0.8377701069933573
2021-05-30,Zürich (ZH),robust,B.1.1.7,0.8260385722590498
2021-05-31,Zürich (ZH),robust,B.1.1.7,0.8149960731472442
2021-06-01,Zürich (ZH),robust,B.1.1.7,0.8042506813107497
2021-05-19,Zürich (ZH),robust,B.1.1.7,0.9092458653342209
2021-05-20,Zürich (ZH),robust,B.1.1.7,0.9070652297506311
2021-05-21,Zürich (ZH),robust,B.1.1.7,0.9044168948193873
2021-05-22,Zürich (ZH),robust,B.1.1.7,0.9010233365452432
2021-05-23,Zürich (ZH),robust,B.1.1.7,0.8965322406479526
2021-05-24,Zürich (ZH),robust,B.1.1.7,0.8905661732915232
2021-05-25,Zürich (ZH),robust,B.1.1.7,0.8828351715371483
2021-05-12,Zürich (ZH),robust,B.1.1.7,0.9285596961422633
2021-05-13,Zürich (ZH),robust,B.1.1.7,0.9242755069686633
2021-05-14,Zürich (ZH),robust,B.1.1.7,0.9206310165545154
2021-05-15,Zürich (ZH),robust,B.1.1.7,0.9176240504017248
2021-05-16,Zürich (ZH),robust,B.1.1.7,0.915157983577522
2021-05-17,Zürich (ZH),robust,B.1.1.7,0.9130762260126494
2021-05-18,Zürich (ZH),robust,B.1.1.7,0.9111851003950837
2021-02-12,Zürich (ZH),robust,B.1.1.7,0.46656330331109624
2021-02-13,Zürich (ZH),robust,B.1.1.7,0.490286111370684
2021-02-14,Zürich (ZH),robust,B.1.1.7,0.5163058103804085
2021-02-15,Zürich (ZH),robust,B.1.1.7,0.5443728194630844
2021-02-16,Zürich (ZH),robust,B.1.1.7,0.5741259091904903
2021-02-17,Zürich (ZH),robust,B.1.1.7,0.6049102420790868
2021-02-18,Zürich (ZH),robust,B.1.1.7,0.6359935585799089
2021-02-19,Zürich (ZH),robust,B.1.1.7,0.666713117179679
2021-02-20,Zürich (ZH),robust,B.1.1.7,0.6960431544380381
2021-02-21,Zürich (ZH),robust,B.1.1.7,0.7226756882187476
2021-02-22,Zürich (ZH),robust,B.1.1.7,0.7457451096313009
2021-02-23,Zürich (ZH),robust,B.1.1.7,0.7652557410397801
2021-02-24,Zürich (ZH),robust,B.1.1.7,0.7817987686419621
2021-02-25,Zürich (ZH),robust,B.1.1.7,0.7960834385773283
2021-02-26,Zürich (ZH),robust,B.1.1.7,0.8087353135836076
2021-02-27,Zürich (ZH),robust,B.1.1.7,0.8202990208164744
2021-02-28,Zürich (ZH),robust,B.1.1.7,0.8312760910850331
2021-03-01,Zürich (ZH),robust,B.1.1.7,0.84211619065399
2021-03-02,Zürich (ZH),robust,B.1.1.7,0.8531409406666106
2021-03-03,Zürich (ZH),robust,B.1.1.7,0.8644269685916399
2021-03-04,Zürich (ZH),robust,B.1.1.7,0.8757174107803514
2021-03-05,Zürich (ZH),robust,B.1.1.7,0.886454895410843
2021-03-06,Zürich (ZH),robust,B.1.1.7,0.8959852288035824
2021-03-07,Zürich (ZH),robust,B.1.1.7,0.9038288994450154
2021-03-08,Zürich (ZH),robust,B.1.1.7,0.9098296512179017
2021-03-09,Zürich (ZH),robust,B.1.1.7,0.9141231069038446
2021-03-10,Zürich (ZH),robust,B.1.1.7,0.917027746903697
2021-03-11,Zürich (ZH),robust,B.1.1.7,0.9189530567063016
2021-03-12,Zürich (ZH),robust,B.1.1.7,0.9203321258358605
2021-03-13,Zürich (ZH),robust,B.1.1.7,0.9215576158066456
2021-03-14,Zürich (ZH),robust,B.1.1.7,0.9229209443918179
2021-03-15,Zürich (ZH),robust,B.1.1.7,0.9245649775284287
2021-03-16,Zürich (ZH),robust,B.1.1.7,0.9264628758162267
2021-03-17,Zürich (ZH),robust,B.1.1.7,0.9284423426228435
2021-03-18,Zürich (ZH),robust,B.1.1.7,0.9302584976773608
2021-03-19,Zürich (ZH),robust,B.1.1.7,0.9316783884855682
2021-03-20,Zürich (ZH),robust,B.1.1.7,0.932537169411389
2021-03-21,Zürich (ZH),robust,B.1.1.7,0.93276029617419
2021-03-22,Zürich (ZH),robust,B.1.1.7,0.9323653278589281
2021-03-23,Zürich (ZH),robust,B.1.1.7,0.9314566891063772
2021-03-24,Zürich (ZH),robust,B.1.1.7,0.930215931144275
2021-03-25,Zürich (ZH),robust,B.1.1.7,0.9288792133315141
2021-03-26,Zürich (ZH),robust,B.1.1.7,0.9277002483666931
2021-03-27,Zürich (ZH),robust,B.1.1.7,0.9269113841080271
2021-03-28,Zürich (ZH),robust,B.1.1.7,0.9266940410677675
2021-03-29,Zürich (ZH),robust,B.1.1.7,0.9271563579542571
2021-03-30,Zürich (ZH),robust,B.1.1.7,0.9283125305383731
2021-03-31,Zürich (ZH),robust,B.1.1.7,0.9300668198488213
2021-04-01,Zürich (ZH),robust,B.1.1.7,0.9322159673285887
2021-04-02,Zürich (ZH),robust,B.1.1.7,0.9344844519142613
2021-04-03,Zürich (ZH),robust,B.1.1.7,0.9365871928473704
2021-04-04,Zürich (ZH),robust,B.1.1.7,0.9382878773808879
2021-04-05,Zürich (ZH),robust,B.1.1.7,0.9394219499515338
2021-04-06,Zürich (ZH),robust,B.1.1.7,0.9398843505763795
2021-04-14,Zürich (ZH),robust,B.1.1.7,0.9264921558873638
2021-04-15,Zürich (ZH),robust,B.1.1.7,0.9268711489273769
2021-04-16,Zürich (ZH),robust,B.1.1.7,0.9285476941271795
2021-04-17,Zürich (ZH),robust,B.1.1.7,0.9313494302691729
2021-04-18,Zürich (ZH),robust,B.1.1.7,0.9349504789777168
2021-04-19,Zürich (ZH),robust,B.1.1.7,0.9389375057759156
2021-04-20,Zürich (ZH),robust,B.1.1.7,0.9428912884043795
2021-04-21,Zürich (ZH),robust,B.1.1.7,0.9464680875028476
2021-04-22,Zürich (ZH),robust,B.1.1.7,0.949449495629819
2021-04-23,Zürich (ZH),robust,B.1.1.7,0.9517496887030956
2021-04-24,Zürich (ZH),robust,B.1.1.7,0.9533984947528867
2021-04-25,Zürich (ZH),robust,B.1.1.7,0.954520918194197
2021-04-26,Zürich (ZH),robust,B.1.1.7,0.955309483851384
2021-04-27,Zürich (ZH),robust,B.1.1.7,0.9559751237260788
2021-04-28,Zürich (ZH),robust,B.1.1.7,0.9566831429828084
2021-04-29,Zürich (ZH),robust,B.1.1.7,0.9575017216986413
2021-04-30,Zürich (ZH),robust,B.1.1.7,0.9583847626259726
2021-05-01,Zürich (ZH),robust,B.1.1.7,0.9591927780394316
2021-05-02,Zürich (ZH),robust,B.1.1.7,0.9597365474433693
2021-05-03,Zürich (ZH),robust,B.1.1.7,0.959819002381912
2021-05-04,Zürich (ZH),robust,B.1.1.7,0.9592588607496912
2021-04-08,Zürich (ZH),robust,B.1.1.7,0.9385680396080334
